asset;broker;right;side;exp_date;dte;strike;qty_underlying;contracts_est;cashflow;fees;spot;spot_source;option_px;option_px_source;option_px_update;option_bid;option_ask;intrinsic_proxy;extrinsic_per_share;remaining_extrinsic;result_proxy;regt_margin_est;cash_secured_margin;margin_used;premium_per_margin;entry_cashflow_per_margin;result_per_margin;ann_premium_per_margin;ann_entry_cashflow_per_margin;stress_10_result;stress_20_result;uniek_id
VFC;interactive;call;short;2026-05-15;1;22,000;-2.600,000;26,000;2.678,000;-18,000;17,130;asset_last_prices: VFC/USD 2026-05-13 22:00:50;0,000;ask_only_ignored;2026-05-13 22:05:51;;0,630;0,000;0,000;0,000;2.678,000;4.453,800;;4.453,800;0,000;0,601;0,601;0,000;219,469;2.678,000;2.678,000;interactive-VFC-optie-15-5-2026-call-22
VFC;interactive;put;short;2026-06-12;29;18,500;-500,000;5,000;1.070,000;-3,500;17,130;asset_last_prices: VFC/USD 2026-05-13 22:00:50;2,280;bid_ask_mid;2026-05-13 22:05:51;2,060;2,500;685,000;0,910;455,000;385,000;2.853,000;9.250,000;2.853,000;0,159;0,375;0,135;2,007;4,720;-471,500;-1.328,000;interactive-VFC-optie-12-6-2026-put-18.5
